update,global_step,segments_completed,model_segment_return_20,mean_segment_horizon_20,mean_uncertainty,uncertainty_terminations,policy_loss,value_loss,approx_kl,clip_fraction,mean_advantage_weight,sps
25,102400,8427,-1.7976144544780255,6.5,1.0936742000922095e-05,6565,0.00026029208675026894,2.0495474338531494,0.006124746985733509,0.023876953125,1.0,19009
26,106496,9047,-3.8099054113030433,5.9,1.1736431588360574e-05,7182,-0.007416660897433758,0.7703444361686707,0.0068306690081954,0.083837890625,1.0,19030
27,110592,9680,-2.2025031000375748,6.1,1.4701789950777311e-05,7812,-0.006888320203870535,0.4445541501045227,0.006966003216803074,0.078515625,1.0,18956
28,114688,10340,-0.8726541668176651,6.85,1.3475274499796797e-05,8470,-0.007349128369241953,0.6686295866966248,0.007584040053188801,0.02265625,1.0,18953
29,118784,11012,-1.5973860763013363,6.2,1.186075769510353e-05,9140,0.0022145165130496025,0.41744691133499146,0.004790689330548048,0.00712890625,1.0,18972
30,122880,11702,-1.4570359691977501,5.4,1.798200173652731e-05,9827,-0.003269895911216736,1.888958215713501,0.0023414557799696922,0.018359375,1.0,18984
31,126976,12426,-0.405441764742136,5.65,1.214137864735676e-05,10547,-0.0002453625202178955,0.4344899356365204,0.00041568532469682395,0.00048828125,1.0,18999
32,131072,13148,-0.9959855496883392,5.95,1.838331991166342e-05,11266,0.0009473080281168222,2.112570285797119,0.00464203767478466,0.0345703125,1.0,19016
33,135168,13888,-4.317852687090635,5.4,2.5744007871253416e-05,12006,-0.0031067263334989548,1.1420859098434448,0.00706318998709321,0.015673828125,1.0,19028
34,139264,14623,-1.730112188309431,5.65,1.3577469871961512e-05,12738,-0.002489842474460602,1.9278385639190674,0.001570377266034484,0.00087890625,1.0,19042
35,143360,15382,-0.8718658424913883,5.05,1.2122363841626793e-05,13496,-0.0037243012338876724,2.6477651596069336,0.0016315027605742216,0.020263671875,1.0,19059
36,147456,16103,-1.6608845092356206,6.1,8.4637731561088e-06,14212,-0.0015637939795851707,0.6021056771278381,0.002223257441073656,0.0060546875,1.0,19069
37,151552,16819,-1.8404395282268524,4.95,1.4619917237723712e-05,14922,-0.0008436157368123531,0.6501898765563965,0.0008359096827916801,0.0025390625,1.0,19080
38,155648,17530,-1.7121770843863486,5.65,2.5680328690214083e-05,15629,0.0002281898632645607,1.6337523460388184,0.00029481900855898857,0.00068359375,1.0,19084
39,159744,18262,-2.332243984937668,4.25,2.2921234631212428e-05,16359,0.0011693723499774933,0.8443515300750732,0.007809903472661972,0.08701171875,1.0,19096
